Datetime (UTC),Timeslot,Region,Value
2025-08-28T21:00Z,91, North Wales & Merseyside,146
2025-08-28T21:30Z,92, North Wales & Merseyside,135
2025-08-28T22:00Z,93, North Wales & Merseyside,105
2025-08-28T22:30Z,94, North Wales & Merseyside,77
2025-08-28T23:00Z,95, North Wales & Merseyside,72
2025-08-28T23:30Z,96, North Wales & Merseyside,75
2025-08-29T00:00Z,97, North Wales & Merseyside,40
2025-08-27T00:00Z,1,South Wales ,239
2025-08-27T00:30Z,2,South Wales ,217
2025-08-27T01:00Z,3,South Wales ,217
2025-08-27T01:30Z,4,South Wales ,214
2025-08-27T02:00Z,5,South Wales ,224
2025-08-27T02:30Z,6,South Wales ,258
2025-08-27T03:00Z,7,South Wales ,291
2025-08-27T03:30Z,8,South Wales ,288
2025-08-27T04:00Z,9,South Wales ,285
2025-08-27T04:30Z,10,South Wales ,257
